Variable,Tipo,Nulos,% Nulos
home_team,object,0,0.0
away_team,object,0,0.0
home_score,int64,0,0.0
home_xg,float64,232,66.67
home_penalty,float64,337,96.84
away_score,int64,0,0.0
away_xg,float64,232,66.67
away_penalty,float64,337,96.84
home_manager,object,180,51.72
home_captain,object,180,51.72
away_manager,object,180,51.72
away_captain,object,180,51.72
Attendance,int64,0,0.0
Venue,object,0,0.0
Officials,object,3,0.86
Round,object,0,0.0
Date,object,0,0.0
Score,object,0,0.0
Referee,object,7,2.01
Notes,object,328,94.25
Host,object,0,0.0
Year,int64,0,0.0
home_goal,object,96,27.59
away_goal,object,148,42.53
home_goal_long,object,96,27.59
away_goal_long,object,148,42.53
home_own_goal,object,330,94.83
away_own_goal,object,335,96.26
home_penalty_goal,object,294,84.48
away_penalty_goal,object,313,89.94
home_penalty_miss_long,object,335,96.26
away_penalty_miss_long,object,341,97.99
home_penalty_shootout_goal_long,object,337,96.84
away_penalty_shootout_goal_long,object,337,96.84
home_penalty_shootout_miss_long,object,340,97.7
away_penalty_shootout_miss_long,object,338,97.13
home_red_card,object,340,97.7
away_red_card,object,337,96.84
home_yellow_red_card,object,340,97.7
away_yellow_red_card,object,345,99.14
home_yellow_card_long,object,135,38.79
away_yellow_card_long,object,118,33.91
home_substitute_in_long,object,4,1.15
away_substitute_in_long,object,5,1.44
