Jugadora,Goles
Hinata Miyazawa,5
Amanda Ilestedt,4
Jill Roord,4
Rebecka Blomqvist,3
Alba Redondo,3
Aitana Bonmatí,3
Eugénie Le Sommer,3
Hayley Raso,3
Lauren Hemp,3
Alessia Russo,3
Jennifer Hermoso,3
Sophie Román Haug,3
Lauren James,3
Alexandra Popp,3
Ary Borges,3
Kadidiatou Diani,2
Olga Carmona,2
Stefanie van der Gragt,2
Hildah Magaia,2
Thembi Kgatlana,2
Linda Caicedo,2
Mina Tanaka,2
Salma Paralluelo,2
Lindsey Horan,2
Sophia Smith,2
Fridolina Rolfö,2
Esmee Brugts,2
Risa Shimizu,1
Lineth Beerensteyn,1
Laia Codina,1
Catalina Usme,1
Honoka Hayashi,1
Kenza Dali,1
Leicy Santos,1
Kosovare Asllani,1
Ella Toone,1
Sam Kerr,1
Caitlin Foord,1
Cho So-hyun,1
Marta Cox,1
Léa Le Garrec,1
Lineth Cedeño,1
Daniëlle van de Donk,1
Katja Snoeijs,1
Lieke Martens,1
Vicki Bècho,1
Maëlle Lakrar,1
Rachel Daly,1
Chloe Kelly,1
Sanne Troelsgaard Nielsen,1
Lushomo Mweemba,1
Melissa Herrera,1
Riko Ueki,1
Racheal Kundananji,1
Ibtissam Jraïdi,1
Anissa Lahmari,1
Arianna Caruso,1
Guro Reiten,1
Manuela Vanegas,1
Caroline Graham Hansen,1
Mary Fowler,1
Stina Blackstenius,1
Allyson Swaby,1
Sophia Braun,1
Debinha,1
Wendie Renard,1
Telma Encarnação,1
Kika Nazareth,1
Emily van Egmond,1
Alanna Kennedy,1
Uchenna Kanu,1
Osinachi Ohale,1
Romina Núñez,1
Linda Motlhalo,1
Hikaru Naomoto,1
Asisat Oshoala,1
Aoba Fujino,1
Teresa Abelleira,1
Sarina Bolden,1
Cristiana Girelli,1
Adriana Leon,1
Katie McCabe,1
Lea Schüller,1
Klara Bühl,1
Beatriz,1
Jun Endō,1
Amalie Vangsgaard,1
Seraina Piubel,1
Esther González,1
Hannah Wilkinson,1
